sorted_basename,categoria,subtipo,cell_line,group_key,timepoint_h,campo,raw_file_original,raw_md5,whst_input_file,test_image,match_via,classe_validade,serie_padrao,serie_closure_plausivel,serie_decisao,excesso_rel,excesso_ref,na_lista_correcao,na_lista_revisao,contencao_t0,modo_falha,origem_categoria,motivo_operador,status_correcao
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp12h__1__D3_12H_1_2__6b8d096cd6.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,1,D3 12H 1 (2).tiff,6b8d096cd6b8858166286fe4a3ee41d0,6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,D3 12H 1_png.rf.vDKmMF3YJlFSbIbFZHci.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.4570,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp12h__2__D3_12H_2_2__3dea5f7bdf.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,2,D3 12H 2 (2).tiff,3dea5f7bdf37fa9e187390a1e5248f2d,3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,D3 12H 2_png.rf.bk65RyMB9bMlU59S1RY7.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.8644,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp24h__1__D3_24H_1_2__b74ccec3d4.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,1,D3 24H 1 (2).tiff,b74ccec3d4a67770e2b56a1a66ec9d9d,b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,D3 24H 1_png.rf.lgES3xZvT7KoszPGhV44.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.3875,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp24h__2__D3_24H_2_2__313ff6b3d6.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,2,D3 24H 2 (2).tiff,313ff6b3d6d6e13b1ea99d7f2f8ef8a1,313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,D3 24H 2_png.rf.vu9MuWKRyoy3WKGkVrI5.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.9644,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp00h__1__D1_0H_1_3__590e6c1504.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,0,1,D1 0H 1 (3).tiff,590e6c150447eb644b0010912728e201,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,D1 0H 1_png.rf.fw3oXHFKRwGBIpMcBKY2.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,-0.104,irmao_campo,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp00h__2__D1_0H_2_3__b4778b9433.jpg,OK,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,0,2,D1 0H 2 (3).tiff,b4778b9433534f47debe0d5537482132,b4778b9433__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_2_3.tiff,D1 0H 2_png.rf.In3g26PLvIPVilZ9guvK.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp08h__1__D1_8H_1_3__54c61f325d.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,8,1,D1 8H 1 (3).tiff,54c61f325d55001025cff01d9d1c3895,54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.tiff,D1 8H 1_png.rf.AmYzGCscmIMNbZlAIVL4.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,-0.105,irmao_campo,nao,nao,0.3435,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp08h__2__D1_8H_2__246463cc3a.jpg,OK,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,8,2,D1 8H 2.png,246463cc3af0b2e5ce16a19683714a82,246463cc3a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_2.tiff,D1 8H 2_png.rf.1Guur0r0WOYFqgYbD8Ix.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,0.7091,,anotacao,segmentação boa,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp12h__1__D1_12H_1_3__ad9f9e8e56.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,12,1,D1 12H 1 (3).tiff,ad9f9e8e56b961a0a6ad01343900a9dd,ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,D1 12H 1_png.rf.mKsxEDejqQN6qCQxLyns.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.4116,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp12h__2__D1_12H_2_3__61972712e8.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,12,2,D1 12H 2 (3).tiff,61972712e8fb992c1c5d00f7f6dd7e5f,61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,D1 12H 2_png.rf.hM6Jhc6UJKSMWKFN6Pta.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.1705,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp24h__1__D1_24H_1_3__2416a46324.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,24,1,D1 24H 1 (3).tiff,2416a46324619a8a9e3b817c947a5e15,2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,D1 24H 1_png.rf.9St1pSdNBqUmYewNNUks.png,nome,invalidez_imagem,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,,sim,nao,0.0000,,triagem,"imagem esta escura, dificultaria a segmentação de forma completa",invalida
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp24h__2__D1_24H_2_3__4e5949b4ff.jpg,OK,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,24,2,D1 24H 2 (3).tiff,4e5949b4ff6f701b5438d0a85bc4221e,4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,D1 24H 2_png.rf.JPXsJfPNRWwnAkf2OC68.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,0.3957,,correcao_manual,"imagem esta escura, mas possivel de segmentar",ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp00h__1__D4_0H_1_3__72ec8e45a1.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,0,1,D4 0H 1 (3).tiff,72ec8e45a1e7fdbc1607f52f8e0488e2,72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.tiff,D4 0H 1_png.rf.FutNJ1bcHBCTMEvRlEBr.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.102,cond_ok,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp00h__2__D4_0H_2_3__6e6e66cf02.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,0,2,D4 0H 2 (3).tiff,6e6e66cf020876c46463522e7196c244,6e6e66cf02__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_2_3.tiff,D4 0H 2_png.rf.eVEb58gAMbcellIRwKuX.png,nome,invalidez_imagem,TODA_INVALIDA,nao,TODA_INVALIDA_fora,,,nao,sim,,,anotacao,invalida,
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp08h__1__D4_8H_1_3__62cb1d4bdc.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,8,1,D4 8H 1 (3).tiff,62cb1d4bdcbdf5660e2548824fb0ad15,62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.tiff,D4 8H 1_png.rf.xpR4xGrS7xqp2WqsHOdj.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.469,cond_ok,nao,nao,0.6720,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp08h__2__D4_8H_2_3__c07bc84c98.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,8,2,D4 8H 2 (3).tiff,c07bc84c98b14a0df92cc6cf6c10e57f,c07bc84c98__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_2_3.tiff,D4 8H 2_png.rf.ixTzZNh35XGijmR7VOtL.png,nome,invalidez_imagem,TODA_INVALIDA,nao,TODA_INVALIDA_fora,,,nao,sim,0.8916,,anotacao,invalida,
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp12h__1__D4_12H_1_3__db5f1d05ce.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,12,1,D4 12H 1 (3).tiff,db5f1d05ce4c6d60311e0690edd41e72,db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.tiff,D4 12H 1_png.rf.9BeWOTfVwMn3ywdSyPmt.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.5477,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp12h__2__D4_12H_2_3__de4591208a.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,12,2,D4 12H 2 (3).tiff,de4591208a9078d88137eb41b0d01285,de4591208a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_2_3.tiff,D4 12H 2_png.rf.JoRndEJA1lep3hprLUOS.png,nome,invalidez_imagem,TODA_INVALIDA,nao,TODA_INVALIDA_fora,,,nao,sim,0.8872,,anotacao,invalida,
HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp24h__1__D4_24H_1_3__219024d892.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,24,1,D4 24H 1 (3).tiff,219024d89242b1315e6507cd8712e182,219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.tiff,D4 24H 1_png.rf.l74W6BtAd1h2vbDdLYa7.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.475,cond_ok,nao,nao,0.5349,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A1__tp00h__1__A1_0HR_1_2__acb23080b8.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A1,0,1,A1 0HR 1 (2).tiff,acb23080b800ba61784db5fccdee5f2a,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,-0.093,irmao_campo,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A1__tp00h__2__A1_0HR_2_2__157a366d29.jpg,OK,,HUVEC,Originais (1)||None||A1,0,2,A1 0HR 2 (2).tiff,157a366d29eac412b9517e9e7ae9aeff,157a366d29__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_2_2.tiff,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Originais_1_None_A1__tp08h__1__A1_8HR_1_2__ba096361b8.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A1,8,1,A1 8HR 1 (2).tiff,ba096361b82a3cbfb870ea13d1d1b283,ba096361b8__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_1_2.tiff,A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,-0.240,cond_ok,nao,nao,0.7710,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A1__tp08h__2__A1_8HR_2_2__f9a5587463.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A1,8,2,A1 8HR 2 (2).tiff,f9a5587463c7c98918a75f093db57e7c,f9a5587463__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_2_2.tiff,A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.131,cond_ok,sim,nao,0.6479,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A1__tp12h__1__A1_12HR_1_2__e8f27e802d.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A1,12,1,A1 12HR 1 (2).tiff,e8f27e802d73d5f59acafe91211b07de,e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.tiff,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,-0.552,cond_ok,nao,nao,0.5732,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A1__tp12h__2__A1_12HR_2_2__3bd025364d.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A1,12,2,A1 12HR 2 (2).tiff,3bd025364d20c063f6f748c957a087ed,3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.tiff,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.484,cond_ok,sim,nao,0.4202,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A1__tp24h__1__A1_24HR_1_2__7f4a54ced3.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A1,24,1,A1 24HR 1 (2).tiff,7f4a54ced3176eb8be3ec4d9ff730c66,7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2.tiff,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.5668,excesso,triagem,figura totalmente fechada,fechada
HUVEC__Originais_1_None_A1__tp24h__2__A1_24HR_2_2__0c9eecd4e4.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A1,24,2,A1 24HR 2 (2).tiff,0c9eecd4e46762a3d0e84c5f38dac3b1,0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2.tiff,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.3910,deslocada,triagem,figura totalmente fechada,fechada
HUVEC__Originais_1_None_A5__tp00h__1__A5_0HR_1_2__c95a4fe6dd.jpg,OK,,HUVEC,Originais (1)||None||A5,0,1,A5 0HR 1 (2).tiff,c95a4fe6dd3084127f535a1e1af0b656,c95a4fe6dd__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_1_2.tiff,A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Originais_1_None_A5__tp00h__2__A5_0HR_2_2__156f09d73b.jpg,OK,,HUVEC,Originais (1)||None||A5,0,2,A5 0HR 2 (2).tiff,156f09d73ba549a77d25bf5b874f4078,156f09d73b__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_2_2.tiff,A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Originais_1_None_A5__tp08h__1__A5_8HR_1_2__402aa9005a.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A5,8,1,A5 8HR 1 (2).tiff,402aa9005a85c457edd77e6cb2a388ae,402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.tiff,A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.460,cond_ok,sim,nao,0.3891,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A5__tp08h__2__A5_8HR_2_2__b55011ddef.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A5,8,2,A5 8HR 2 (2).tiff,b55011ddefa6ab51170219c7f4c3868b,b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2.tiff,A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.367,cond_ok,sim,nao,0.6227,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A5__tp12h__1__A5_12HR_1_2__1e53de2f60.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A5,12,1,A5 12HR 1 (2).tiff,1e53de2f607ee8e93b40b2202f998e53,1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.tiff,A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.753,cond_ok,sim,nao,0.3066,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A5__tp12h__2__A5_12HR_2_2__8380cf36f6.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A5,12,2,A5 12HR 2 (2).tiff,8380cf36f60d523700453218477aaa71,8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2.tiff,A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.722,cond_ok,sim,nao,0.6744,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_A5__tp24h__1__A5_24HR_1_2__915659805f.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A5,24,1,A5 24HR 1 (2).tiff,915659805f3ad733efa6c7f6bbd8486e,915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2.tiff,A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.1906,deslocada,triagem,figura totalmente fechada,fechada
HUVEC__Originais_1_None_A5__tp24h__2__A5_24HR_2_2__1b7a6d4b5b.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||A5,24,2,A5 24HR 2 (2).tiff,1b7a6d4b5bcb31e3af7f8a6df4521fae,1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2.tiff,A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.2343,deslocada,triagem,figura totalmente fechada,fechada
HUVEC__Originais_1_None_B5__tp00h__1__B5_0HR_1_2__1da4221988.jpg,OK,,HUVEC,Originais (1)||None||B5,0,1,B5 0HR 1 (2).tiff,1da42219880c4a8f64f0cffe3b3e4bef,1da4221988__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_1_2.tiff,B5 0HR 1_png.rf.J6hP1h51BcAFg4KFN6lN.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Originais_1_None_B5__tp00h__2__B5_0HR_2_2__a27829f2e8.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||B5,0,2,B5 0HR 2 (2).tiff,a27829f2e86add96b4d2278c98fc623a,a27829f2e8__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_2_2.tiff,B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.335,irmao_campo,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,
HUVEC__Originais_1_None_B5__tp08h__1__B5_8HR_1_2__b907ae85dd.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||B5,8,1,B5 8HR 1 (2).tiff,b907ae85dd5b0017b1a9a662eb9832d1,b907ae85dd__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_1_2.tiff,B5 8HR 1_png.rf.Ym4RLm5f7bEAlTD8XV4Q.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.167,cond_ok,sim,nao,0.7126,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_B5__tp08h__2__B5_8HR_2_2__dc452cba48.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||B5,8,2,B5 8HR 2 (2).tiff,dc452cba489cb77919cf1ff9d790302b,dc452cba48__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_2_2.tiff,B5 8HR 2_png.rf.1bM2nfrE3C3SuMgkQzIF.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.713,cond_ok,nao,nao,0.7807,excesso,triagem,pegou a ferida e fora dela tambem,
HUVEC__Originais_1_None_B5__tp12h__1__B5_12HR_1_2__a3e15c9ecc.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||B5,12,1,B5 12HR 1 (2).tiff,a3e15c9ecc668d846287931441ef481c,a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2.tiff,B5 12HR 1_png.rf.XqoVkA4DK3JbERfwmQPP.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.375,cond_ok,sim,nao,0.8984,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Originais_1_None_B5__tp12h__2__B5_12HR_2_2__0836fc4ee3.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||B5,12,2,B5 12HR 2 (2).tiff,0836fc4ee34142f6f2d8216d5626fc07,0836fc4ee3__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_2_2.tiff,B5 12HR 2_png.rf.EZH0RYIN3t8Q75rFyebV.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.666,cond_ok,nao,nao,0.8356,excesso,triagem,pegou a ferida e fora dela tambem,
HUVEC__Originais_1_None_B5__tp24h__1__B5_24HR__67aac5fafc.jpg,SEG_RUIM,super,HUVEC,Originais (1)||None||B5,24,1,B5 24HR .tiff,67aac5fafcdc92b7d310cf882d036a1e,67aac5fafc__HUVEC__Originais_1_None_B5__tp24h__B5_24HR.tiff,B5 24HR _png.rf.g9PDGT1tjMWdiPw6OCJg.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,nao,SEM_BASELINE_fora_pareada,,sem_referencia,nao,nao,,nao_avaliavel,triagem,figura totalmente fechada,
HUVEC__Originais_1_None_D1__tp00h__1__D1_0HR_1_2__d7cf652f2d.jpg,OK,,HUVEC,Originais (1)||None||D1,0,1,D1 0HR 1 (2).tiff,d7cf652f2d1594d1c828e5eb570a4942,d7cf652f2d__HUVEC__Originais_1_None_D1__tp0h__D1_0HR_1_2.tiff,D1 0HR 1_png.rf.pXGKiyw6dpCjGOogRcBS.png,nome,valida_ok,MISTO,nao,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Originais_1_None_D1__tp00h__2__D1_0HR_2_2__90bf65dbb4.jpg,OK,,HUVEC,Originais (1)||None||D1,0,2,D1 0HR 2 (2).tiff,90bf65dbb4f47ce7b78dd579fd9f468c,90bf65dbb4__HUVEC__Originais_1_None_D1__tp0h__D1_0HR_2_2.tiff,D1 0HR 2_png.rf.Ak8bfHD2sNvAS5ARU8WU.png,nome,valida_ok,CONSISTENTE_OK+INVALIDA,sim,USAVEL_sem_correcao,,,nao,nao,,,triagem,,
HUVEC__Originais_1_None_D1__tp08h__1__D1_8HR_1_2__a40bd1473a.jpg,OK,,HUVEC,Originais (1)||None||D1,8,1,D1 8HR 1 (2).tiff,a40bd1473adb80ab5f809e5b28d9b492,a40bd1473a__HUVEC__Originais_1_None_D1__tp8h__D1_8HR_1_2.tiff,D1 8HR 1_png.rf.Pm37sn4g0olAl9FUCP58.png,nome,valida_ok,MISTO,nao,CORRIGIR_misto,,,nao,nao,0.9112,,triagem,,ok
HUVEC__Originais_1_None_D1__tp08h__2__D1_8HR_2_2__b910aebd2d.jpg,OK,,HUVEC,Originais (1)||None||D1,8,2,D1 8HR 2 (2).tiff,b910aebd2de1c8ea58518a536aa68da2,b910aebd2d__HUVEC__Originais_1_None_D1__tp8h__D1_8HR_2_2.tiff,D1 8HR 2_png.rf.We4y9DkVsrjwHtYEPH1S.png,nome,valida_ok,CONSISTENTE_OK+INVALIDA,sim,USAVEL_sem_correcao,,,nao,nao,0.9216,,triagem,,
HUVEC__Originais_1_None_D1__tp12h__1__D1_12HR_1_2__f65dcb0b1e.jpg,OK,,HUVEC,Originais (1)||None||D1,12,1,D1 12HR 1 (2).tiff,f65dcb0b1e51c35e06530fc59352b7f2,f65dcb0b1e__HUVEC__Originais_1_None_D1__tp12h__D1_12HR_1_2.tiff,D1 12HR 1_png.rf.mtvtObh31Z25eXwo4BTB.png,nome,valida_ok,MISTO,nao,CORRIGIR_misto,,,nao,nao,0.8492,,triagem,,ok
