arquivo_b,partition,cell_line,timepoint_h,group_key,lote,res,otsu_eta,lap_var,vignette,var_map_sigma2
A4 0HR 2_png.rf.ad8NWhUve9wWCADVF4Er.png,train,HUVEC,0,Controle+Saudavel||None||A4,Controle+Saudavel,nativo,0.65977,65.13,0.7398,2265.51
B3 8H 2_png.rf.CESTHFggCs6xlkAs19Pa.png,val,HUVEC,8,LUIS RAW||PEP+GB||B3,LUIS RAW,nativo,0.71973,247.53,0.8612,4320.62
B3 8H 2_png.rf.9tJrx07oVduWzllk5nQH.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,nativo,0.62058,53.38,0.7243,1425.67
B3 8H 2_png.rf.7Eq3kMUW8sFWbmsSpjrE.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,nativo,0.68709,144.8,0.667,3022.96
B3 8H 2_png.rf.J2ZWdw3dXxPmWLgQzORH.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,nativo,0.62681,56.34,0.7249,2324.27
E4 12H 2_png.rf.Ec4jsXhXLHQBkPxAMAyc.png,val,HUVEC,12,LUIS RAW||PEP+MET3||E4,LUIS RAW,nativo,0.77052,292.16,0.7916,6302.38
E4 12H 2_png.rf.lZSPsrmbRSyhfiXorh1s.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PET||E4,Migração (PET e PEP) n1 - RAW,nativo,0.63235,28.84,0.714,1379.83
A4 8HR 2_png.rf.FrebrKnoGJAi62YqwG10.png,train,HUVEC,8,originais||None||A4,originais,nativo,0.71399,126.83,0.8013,4423.43
A4 8HR 2_png.rf.ueLU3zjhuubW2d81ZDX5.png,train,HUVEC,8,Originais (1)||None||A4,Originais (1),nativo,0.75151,120.39,0.8624,6007.18
B6 0HR 2_png.rf.PJA73eFbAqKdZVUui1iH.png,train,HUVEC,0,originais||None||B6,originais,nativo,0.64729,69.94,0.8355,1664.83
B6 0HR 2_png.rf.9dIqbEAZjCw7c536N5S2.png,train,HUVEC,0,Originais (1)||None||B6,Originais (1),nativo,0.67987,94.89,0.782,3832.9
A5 8HR 2_png.rf.PkgglquFkEZJxKt3zDYh.png,train,HUVEC,8,Pré-Eclâmpsia||None||A5,Pré-Eclâmpsia,nativo,0.72791,93.88,0.8453,5572.67
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,test,HUVEC,8,Originais (1)||None||A5,Originais (1),nativo,0.74951,105.85,0.8816,5921.94
A5 8hr 2_png.rf.ORi73INEpKfYcNVBMeHR.png,train,HUVEC,8,Pré-Eclâmpsia||None||A5,Pré-Eclâmpsia,640,0.60812,17.55,0.8674,1010.28
C4 8HR 2_png.rf.75jApVB4zrpuft44xaOb.png,train,HUVEC,8,Originais (1)||None||C4,Originais (1),nativo,0.64274,29.91,0.864,2930.76
C5 8HR 1_png.rf.npq1TT4tFnUwL9fyEtxf.png,train,HUVEC,8,Originais (1)||None||C5,Originais (1),nativo,0.65896,36.22,0.7659,2862.17
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,test,HUVEC,8,Originais (1)||None||A5,Originais (1),nativo,0.67726,64.27,0.8354,3211.84
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,test,HUVEC,8,originais||None||A5,originais,nativo,0.68695,57.52,0.717,3036.61
C8 0HR 1_png.rf.unFcr8NfT77SuQCb8WVf.png,train,HUVEC,0,Originais (1)||None||C8,Originais (1),nativo,0.76889,248.79,0.7469,8088.3
A3 0HR 1_png.rf.vOWVMCSId0rrI2A5Y6RI.png,train,HUVEC,0,Originais (1)||None||A3,Originais (1),nativo,0.72301,237.64,0.8261,4939.68
A3 0HR 1_png.rf.lbHrUgZUHbHQslRvoZEH.png,train,HUVEC,0,originais||None||A3,originais,nativo,0.67561,69.05,0.8063,2955.68
C1 8HR 1_png.rf.oOkkW323fjLb20ujmYdI.png,train,HUVEC,8,Originais (1)||None||C1,Originais (1),nativo,0.59928,21.57,0.7016,880.73
A3 12hr 2_png.rf.qSoaWOtqXsRyw0S2qSAg.png,val,HUVEC,12,Controle+Saudavel||None||A3,Controle+Saudavel,640,0.60548,60.0,0.8574,1803.63
A3 12HR 2_png.rf.EM0ZeH9oXoYjDPrahHYX.png,val,HUVEC,12,Controle+Saudavel||None||A3,Controle+Saudavel,nativo,0.8088,116.41,0.8498,8400.57
A3 12HR 2_png.rf.X6ZbjE2gzo7dzplSnmP5.png,train,HUVEC,12,Originais (1)||None||A3,Originais (1),nativo,0.66012,40.61,0.8122,1707.12
A6 8HR 1_png.rf.jMYq7Imdm9b3bsQCdfaH.png,train,HUVEC,8,Originais (1)||None||A6,Originais (1),nativo,0.73023,94.61,0.8425,4878.78
A6 8HR 1_png.rf.7Grrv3doO59OSdNxaDbf.png,train,HUVEC,8,originais||None||A6,originais,nativo,0.69732,40.69,0.7539,3907.25
A3 8HR 1_png.rf.YWwkHXdFn51x2qQa9MKo.png,train,HUVEC,8,Originais (1)||None||A3,Originais (1),nativo,0.65429,97.77,0.8259,2096.25
A3 8HR 1_png.rf.KvjShuzpjDEXEBWbceBf.png,train,HUVEC,8,originais||None||A3,originais,nativo,0.66447,35.88,0.754,3004.8
D1 8HR 2_png.rf.We4y9DkVsrjwHtYEPH1S.png,test,HUVEC,8,Originais (1)||None||D1,Originais (1),nativo,0.74708,107.49,0.764,6929.82
D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png,test,HUVEC,8,originais||None||D1,originais,nativo,0.83956,121.83,0.8256,8057.38
A4 0HR 1_png.rf.flUKXJX958V29SztaqZp.png,train,HUVEC,0,Originais (1)||None||A4,Originais (1),nativo,0.76047,195.68,0.8355,7390.56
A4 0HR 1_png.rf.lr0vF9oNfEZapbxfemLc.png,train,HUVEC,0,originais||None||A4,originais,nativo,0.67167,76.27,0.7409,3156.27
Snap-10_72_png.rf.n7hfG13etFn8yDPHlWXd.png,train,SKOV,24,P2|CT|F10,P2,nativo,0.66836,72.08,0.8894,3031.56
Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png,test,SKOV,0,P2|CT|F9,P2,nativo,0.942,162.42,0.8,13620.49
Snap-10_206_png.rf.qsKnxTuSvux45mlYUYLk.png,train,SKOV,24,P1|CT|F9,P1,nativo,0.74079,58.49,0.9478,4864.72
Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png,test,SKOV,48,P1|CT|F10,P1,nativo,0.73533,124.15,0.9699,3222.44
Snap-10_27_png.rf.InxxspUYRgK57BBNVAEq.png,train,SKOV,48,P2|CT|F10,P2,nativo,0.74218,54.08,0.9446,3838.64
B3 12hr 2_png.rf.VGbRnN8WbzouxdvfefLU.png,train,HUVEC,12,Controle+Saudavel||None||B3,Controle+Saudavel,640,0.56598,29.21,0.8146,612.82
B3 12HR 2_png.rf.53uaZIgUjykC3AHiGB7Y.png,train,HUVEC,12,Controle+Saudavel||None||B3,Controle+Saudavel,nativo,0.77205,52.28,0.8614,7378.37
B3 12HR 2_png.rf.VqZIwhkvmfMWTtmwJvV6.png,train,HUVEC,12,Originais (1)||None||B3,Originais (1),nativo,0.69299,37.57,0.8166,4251.47
B2 12hr 2_png.rf.aKY954Ar92bN45Dxpxoo.png,train,HUVEC,12,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.7051,82.16,0.8852,3931.22
B2 12hr 2_png.rf.riSjsWM4RKaoLOeuGF4T.png,train,HUVEC,12,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.57436,28.56,0.8043,517.03
B2 12HR 2_png.rf.nZ89rrtZ5eox9IpiBXkM.png,train,HUVEC,12,Originais (1)||None||B2,Originais (1),nativo,0.68984,36.32,0.8257,4127.57
B2 12HR 2_png.rf.0Mjn05pgfeKpn7x2HoEU.png,train,HUVEC,12,Controle+Saudavel||None||B2,Controle+Saudavel,nativo,0.83022,95.22,0.8564,5748.13
B8 0hr 1_png.rf.Y8HPYsGls33ML8N4xLQ9.png,train,HUVEC,0,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,640,0.58952,40.74,0.8574,929.27
B8 0HR 1_png.rf.wcI5BQBhMVPCzXKkI2w6.png,train,HUVEC,0,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,nativo,0.69158,82.04,0.6878,3465.42
B8 0hr 1_png.rf.knYV6A7txjzElFti8uaT.png,train,HUVEC,0,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,640,0.65138,28.12,0.8068,1585.67
B8 0HR 1_png.rf.KqhRF7p7Gc814ztA2tAN.png,train,HUVEC,0,Originais (1)||None||B8,Originais (1),nativo,0.70308,141.6,0.7168,4230.2
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,test,HUVEC,24,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.74146,95.56,0.9584,5466.11
B1 24HR 2_png.rf.Ls9u8THJDkrAcAUiOT0Q.png,test,HUVEC,24,Controle+Saudavel||None||B1,Controle+Saudavel,nativo,0.80811,205.14,0.7721,5239.28
B2 24hr 2_png.rf.huSTBgPOlxWVtCE2FpNP.png,train,HUVEC,24,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.77223,251.23,0.9008,2909.24
B2 24HR 2_png.rf.uTcx0z3WdLqlbwZI5Emi.png,train,HUVEC,24,Controle+Saudavel||None||B2,Controle+Saudavel,nativo,0.77044,154.19,0.834,5512.65
B7 0hr 1_png.rf.ksMD0pYm6qfnouVyBUlp.png,train,HUVEC,0,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,640,0.71064,85.81,0.8537,3610.87
B7 0HR 1_png.rf.Ukn4ATZ5w0il9IzVsrtV.png,train,HUVEC,0,Originais (1)||None||B7,Originais (1),nativo,0.68586,115.25,0.7431,4160.21
B7 0hr 1_png.rf.QYTRdRmCyko5payKjuNF.png,train,HUVEC,0,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,640,0.54606,30.04,0.7514,328.94
B7 0HR 1_png.rf.kzoYnFCLdbukY0DFsrTm.png,train,HUVEC,0,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,nativo,0.6258,36.04,0.6919,1353.55
C7 0hr 2_png.rf.ncuQjQh19UrtWTYYtwgY.png,train,HUVEC,0,Pré-Eclâmpsia||None||C7,Pré-Eclâmpsia,640,0.62065,20.79,0.7795,1160.64
C7 0HR 2_png.rf.p7jzNkQk0PbCL4U2IsE2.png,train,HUVEC,0,Originais (1)||None||C7,Originais (1),nativo,0.77554,193.6,0.7728,8595.31
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,test,HUVEC,24,Controle+Saudavel||None||A1,Controle+Saudavel,640,0.69533,65.72,0.8392,3114.37
A1 24H 2_png.rf.mCVQkyudUMkUKQP8oD3Z.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.64611,28.4,0.694,437.93
A1 24H 2_png.rf.XERqooMY6dKiS5aPsD5q.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.6365,48.89,1.049,1386.3
B7 0hr 2_png.rf.prftfZd1LyffvhWEcvAV.png,train,HUVEC,0,Controle+Saudavel||None||B7,Controle+Saudavel,640,0.56129,30.27,0.7623,307.57
B7 0HR 2_png.rf.dMPgfORCcjwf92Kh6sCI.png,train,HUVEC,0,Originais (1)||None||B7,Originais (1),nativo,0.67229,125.0,0.76,3457.69
B7 0HR 2_png.rf.nntMFnTHGgBpH6aqtdYS.png,train,HUVEC,0,Controle+Saudavel||None||B7,Controle+Saudavel,nativo,0.62128,36.53,0.8191,1280.94
C7 0hr 1_png.rf.0KFwLe9lCE6WFiy10CUh.png,train,HUVEC,0,Pré-Eclâmpsia||None||C7,Pré-Eclâmpsia,640,0.55016,41.3,0.7704,512.8
C7 0HR 1_png.rf.hMZ6n4BOgfQTtrExgc7u.png,train,HUVEC,0,Originais (1)||None||C7,Originais (1),nativo,0.76074,263.99,0.7776,7546.87
Snap-07_70_png.rf.vNyGAtPWPJA0rF6FhxvN.png,train,SKOV,24,P2|CT|F7,P2,nativo,0.67574,82.48,0.9079,4479.53
Snap-07_204_png.rf.H0N5xKu4UYwZk6TNY3Xd.png,train,SKOV,24,P1|CT|F6,P1,nativo,0.77134,87.79,0.9248,6462.24
Snap-07_png.rf.g6SCaXQJinM4lCI6wdd5.png,val,SKOV,0,P2|CT|F6,P2,nativo,0.85928,55.35,0.9015,9349.75
Snap-07_25_png.rf.XApzD0Pw1QxeCLShLeqI.png,train,SKOV,48,P2|CT|F7,P2,nativo,0.72564,39.98,0.9429,4540.72
Snap-07_144_png.rf.vfJMuF8YRLj9hUriVTPL.png,train,SKOV,48,P1|CT|F7,P1,nativo,0.79995,110.38,0.9609,5659.04
Snap-33_37_png.rf.9no99MZvmBZOLsdg6Atx.png,train,SKOV,48,P2|GEO|F3,P2,nativo,0.78652,214.96,0.9193,6077.47
Snap-33_82_png.rf.0OBavEsnW2E5DqKbGtgA.png,train,SKOV,24,P2|GEO|F2,P2,nativo,0.76968,305.35,0.9242,6081.36
Snap-33_171_png.rf.E47tm0ycTBxOqSzcCzoG.png,train,SKOV,48,P1|GEO|F2,P1,nativo,0.74245,104.41,0.9083,4115.13
Snap-33_231_png.rf.JAemjrnP9ImKmVmpRfzn.png,train,SKOV,24,P1|GEO|F2,P1,nativo,0.7723,155.48,0.899,6445.59
Snap-33_277_png.rf.VKo8X4odufnCCAnDoQ0P.png,train,SKOV,72,P1|GEO|F13,P1,nativo,0.8059,404.77,0.9031,1645.65
Snap-33_png.rf.lRxwtWAAAbkEpA18HoVS.png,train,SKOV,0,P2|GEO|F2,P2,nativo,0.95798,176.59,0.7895,12607.81
ct1_5_png.rf.xygVTmZfimx6b9L39l2C.png,train,SKOV,0,P1|CT|F5,P1,nativo,0.85182,128.17,1.0527,10776.8
B1 8H 1_png.rf.1wxeEsithaDZPrKbJIk8.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B1,Migração (PET e PEP) n3 - RAW,nativo,0.62866,38.14,0.7807,536.01
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,test,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW,nativo,0.5679,46.42,0.7005,617.71
B1 8H 1_png.rf.xsq5BkCBkpc4G5otns1Z.png,train,HUVEC,8,LUIS RAW||PEP||B1,LUIS RAW,nativo,0.73938,276.87,0.7777,5911.16
A3 12H 1_png.rf.1mSVqHM6KS3uhRK3e3lj.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,nativo,0.62542,31.2,0.5443,1116.74
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,test,HUVEC,12,LUIS RAW||PEP+GB||A3,LUIS RAW,nativo,0.78046,310.7,0.8199,6480.62
A3 12H 1_png.rf.6fx89SeDFqbbpHYdcuw7.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,nativo,0.66494,151.39,0.7592,3272.2
C3 8H 2_png.rf.2WnG1dTj6hfmtMmaSG3l.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||C3,Migração (PET e PEP) n3 - RAW,nativo,0.70718,117.91,0.8225,4630.54
C3 8H 2_png.rf.JQjUW9XY0QTRcyHYnnXJ.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,Migração (PET e PEP) n1 - RAW,nativo,0.65225,50.44,0.6807,2233.6
C3 8H 2_png.rf.xnMBFgGz1tFhAeE5Mh0m.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET||C3,Migração (PET e PEP) n2 - RAW,nativo,0.64002,120.51,0.8423,2586.63
C3 12H 1_png.rf.8gC4xRzYoHNmtFsxKAAM.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||C3,Migração (PET e PEP) n3 - RAW,nativo,0.62188,39.7,0.503,1216.67
C3 12H 1_png.rf.gufpoClgDJpZOljTqUiO.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET||C3,Migração (PET e PEP) n2 - RAW,nativo,0.65899,59.29,0.7683,2870.93
C3 12H 1_png.rf.k3Ehizb9KQn1GS9CC4y2.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,Migração (PET e PEP) n1 - RAW,nativo,0.63321,65.41,0.7131,1069.23
A2 8H 1_png.rf.3QqxCZ8m0xBtItaJLTd2.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||A2,Migração (PET e PEP) n3 - RAW,nativo,0.68512,61.54,0.7042,2654.09
A2 8H 1_png.rf.6mANHGK2YRZI4BisA8Ei.png,train,HUVEC,8,LUIS RAW||PEP+MET3||A2,LUIS RAW,nativo,0.74178,438.12,0.9034,5058.26
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,test,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW,nativo,0.61424,83.88,0.6854,1867.21
D2 0H 1_png.rf.3s7Eh5cqjrXy6cn56UBU.png,train,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||D2,Migração (PET e PEP) n3 - RAW,nativo,0.63715,78.19,0.7747,1773.21
D2 0H 1_png.rf.xovIJqlILOeUFQLHRyvb.png,val,HUVEC,0,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,Migração (PET e PEP) n2 - RAW,nativo,0.61182,76.12,0.6741,818.36
C2 24HR 2_png.rf.MPADEI7GuMyp9bi3AkAx.png,train,HUVEC,24,Originais (1)||None||C2,Originais (1),nativo,0.72573,42.28,0.8192,5321.8
C1 24HR 1_png.rf.YPRq3IWss7VUaq3e3iGW.png,train,HUVEC,24,Originais (1)||None||C1,Originais (1),nativo,0.71126,46.15,0.7769,4667.24
A4 24HR _png.rf.SoP1Ps5jNnRx92pvO7dO.png,train,HUVEC,24,Originais (1)||None||A4,Originais (1),nativo,0.72213,82.85,0.7593,4283.46
C6 12HR 2_png.rf.QfuOOnhE4hgEtZc6n4FV.png,train,HUVEC,12,Originais (1)||None||C6,Originais (1),nativo,0.73513,42.92,0.8685,6429.93
A8 12HR 2_png.rf.VAU0OVpOBwbG6A1pJf3X.png,train,HUVEC,12,Originais (1)||None||A8,Originais (1),nativo,0.70538,43.57,0.7681,3662.29
A8 12HR 2_png.rf.us5pv6GHD379VoqxMyqM.png,train,HUVEC,12,originais||None||A8,originais,nativo,0.81536,125.83,0.8331,7748.82
ptx2_5_png.rf.ZcYzvy2P9SDnI5FO7SZ3.png,train,SKOV,0,P1|PTX|F10,P1,nativo,0.93801,232.13,1.0404,13738.59
B2 0hr 1_png.rf.db9iQQ8HUhDl1bXRwF8r.png,train,HUVEC,0,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.7974,104.42,0.9241,9332.77
B2 0HR 1_png.rf.5zUWBCAzk9uVSqr7HPbp.png,train,HUVEC,0,Originais (1)||None||B2,Originais (1),nativo,0.67329,67.51,0.7074,3232.52
B2 0HR 1_png.rf.rzJTQJsC1FX8HbufhcZr.png,train,HUVEC,0,Controle+Saudavel||None||B2,Controle+Saudavel,nativo,0.66702,80.07,0.8424,2917.43
B2 0hr 2_png.rf.fIFxz7VDzzqkj4zabua0.png,train,HUVEC,0,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.64072,42.67,0.7955,2302.33
B2 0hr 2_png.rf.NX9PehcIUtrbpP4AGDjt.png,train,HUVEC,0,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.71348,45.87,0.9092,3770.65
B2 0HR 2_png.rf.YbEuLym6tx1G0ByLVH1s.png,train,HUVEC,0,Controle+Saudavel||None||B2,Controle+Saudavel,nativo,0.67215,77.53,0.7864,3412.03
B2 0HR 2_png.rf.cDHclAIceZElSA3dVBAx.png,train,HUVEC,0,Originais (1)||None||B2,Originais (1),nativo,0.70792,123.79,0.8086,5509.12
C3 12HR 1_png.rf.k9cSExscEQguJR8FzubC.png,train,HUVEC,12,Originais (1)||None||C3,Originais (1),nativo,0.69991,35.33,0.7368,4242.86
B8 24HR 2_png.rf.b5g4X4XnMrKNqb9SQURi.png,train,HUVEC,24,Originais (1)||None||B8,Originais (1),nativo,0.64966,18.3,0.8375,1926.51
B8 24HR 2_png.rf.ERLmHyV7djMflJp4wvGM.png,train,HUVEC,24,originais||None||B8,originais,nativo,0.75706,94.97,0.8329,5403.02
Snap-53_216_png.rf.ceY07VS1O3yBsoN0i4yF.png,train,SKOV,24,P1|GEO+PTX|F7,P1,nativo,0.83596,128.59,0.9226,10071.45
Snap-53_156_png.rf.2KewamwDRhiW6t7lbzHC.png,train,SKOV,48,P1|GEO+PTX|F7,P1,nativo,0.8087,88.77,0.9332,8110.61
Snap-53_png.rf.SPyaEqsIv6YUwm8RQELh.png,val,SKOV,0,P2|CARBO+GEO|F7,P2,nativo,0.92338,173.2,0.74,11932.94
Snap-53_112_png.rf.y85Lfcr4yLHN2tGaM2NL.png,val,SKOV,24,P2|CARBO+GEO|F7,P2,nativo,0.77055,292.51,0.9243,7088.35
Snap-53_7_png.rf.2ct09e2HAorv0Sj4JVs5.png,val,SKOV,48,P2|CARBO+GEO|F7,P2,nativo,0.78958,139.53,0.923,6412.38
C1 12HR 1_png.rf.gB0o6oQuTbhG8ZUNerJu.png,train,HUVEC,12,Originais (1)||None||C1,Originais (1),nativo,0.68697,31.96,0.7456,4013.65
D2 12HR 1_png.rf.p5hRLQSbnz5xkNGQSLyI.png,val,HUVEC,12,Originais (1)||None||D2,Originais (1),nativo,0.71812,51.78,0.7724,5194.48
D2 12HR 1_png.rf.V6y5jkWZ8U2dauX4R8yb.png,val,HUVEC,12,originais||None||D2,originais,nativo,0.79572,111.41,0.8326,7298.38
B3 24H 2_png.rf.EyLWdlWUKIXMP6iPFvce.png,val,HUVEC,24,LUIS RAW||PEP+GB||B3,LUIS RAW,nativo,0.76335,438.92,0.8054,5768.75
B3 24H 2_png.rf.lz3tD9MuGQ7oyICLG9uX.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,nativo,0.61983,19.96,0.7325,65.08
B3 24H 2_png.rf.PpupAz8GxRor2jDbCqF6.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,nativo,0.68849,34.47,0.7511,557.16
B3 24H 2_png.rf.JIWJJuOjEyFnBTTqWboN.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,nativo,0.64999,71.95,0.8454,931.67
D5 0HR 1_png.rf.SbuUvkEBfRb7XvbRCXbf.png,train,HUVEC,0,originais||None||D5,originais,nativo,0.70053,79.67,0.8123,4602.32
B7 8HR 2_png.rf.yDoXeIkOiLCyfJbfAIKB.png,train,HUVEC,8,Originais (1)||None||B7,Originais (1),nativo,0.69579,52.98,0.8741,4386.26
B7 8hr 2_png.rf.31N2cJl5ULRNszuwGyOb.png,train,HUVEC,8,Controle+Saudavel||None||B7,Controle+Saudavel,640,0.55189,24.51,0.852,512.76
B7 8HR 2_png.rf.6EowOoKvvsLORMwWwBzP.png,train,HUVEC,8,Controle+Saudavel||None||B7,Controle+Saudavel,nativo,0.68024,40.29,0.8174,3417.39
C2 8HR 1_png.rf.wLj3o7QBiTw4PQFnhYZK.png,train,HUVEC,8,Originais (1)||None||C2,Originais (1),nativo,0.59798,23.42,0.6956,816.13
A8 0HR 1_png.rf.ywsuBpu9YgKyQg8WWxOB.png,train,HUVEC,0,Originais (1)||None||A8,Originais (1),nativo,0.67012,152.54,0.7136,2630.76
A8 0HR 1_png.rf.NsYrX2Q0eYbZWXoghwTi.png,train,HUVEC,0,originais||None||A8,originais,nativo,0.69366,90.61,0.7852,4348.63
Snap-30_55_png.rf.6m4MweF1gXcaFnLD23yF.png,train,SKOV,48,P2|CARBO|F14,P2,nativo,0.87167,434.27,0.9438,7084.28
Snap-30_100_png.rf.DcdJxw6OPtMDzDx5c3Lq.png,train,SKOV,24,P2|CARBO|F15,P2,nativo,0.76979,282.91,0.9161,5324.82
Snap-30_png.rf.Xojuz9v1uRZimBXRpyJ2.png,train,SKOV,0,P2|CARBO|F14,P2,nativo,0.93047,239.94,0.8019,11914.71
Snap-30_129_png.rf.KEvLsnuWxsJl9q7Pk2G2.png,train,SKOV,48,P1|PTX|F14,P1,nativo,0.82595,399.96,0.9353,8761.72
Snap-30_189_png.rf.U7DtY68aa2qOKJpDCR2K.png,train,SKOV,24,P1|PTX|F14,P1,nativo,0.86853,181.19,0.9324,11098.26
B5 24h 2_png.rf.3cjezeQQgtHMSACrb0Ld.png,train,HUVEC,24,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,640,0.60337,42.41,0.7837,615.86
B5 24H 2_png.rf.byu1C5KzftHjtBI9ULN6.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP||B5,Migração (PET e PEP) n1 - RAW,nativo,0.63126,48.51,0.9249,1244.6
B5 24H 2_png.rf.6Ig6Tpi1O42aZ0x8gcXo.png,val,HUVEC,24,LUIS RAW||PEP||B5,LUIS RAW,nativo,0.79336,527.08,0.9064,5866.04
B2 8H 1_png.rf.82fOfdAqqU18vFxOh5u1.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B2,Migração (PET e PEP) n3 - RAW,nativo,0.57828,44.22,0.7241,748.69
B2 8H 1_png.rf.1sEMLb1fXZPZHJjrhVPy.png,train,HUVEC,8,LUIS RAW||PEP+MET3||B2,LUIS RAW,nativo,0.7525,383.62,0.8469,5994.92
B2 8H 1_png.rf.eHCBbYTrS06t1A3Xetic.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B2,Migração (PET e PEP) n2 - RAW,nativo,0.63431,40.62,0.7431,1797.45
B8 0hr 2_png.rf.aZCq8UqHxNli7naRqYDo.png,val,HUVEC,0,Controle+Saudavel||None||B8,Controle+Saudavel,640,0.55907,33.33,0.8066,386.78
B8 0HR 2_png.rf.1mcXWBrhxYELPgOqOm7Y.png,train,HUVEC,0,Originais (1)||None||B8,Originais (1),nativo,0.71727,196.53,0.834,5434.24
B8 0HR 2_png.rf.NmJGNQtA45arpoRi4Nti.png,val,HUVEC,0,Controle+Saudavel||None||B8,Controle+Saudavel,nativo,0.7013,101.97,0.8157,3144.49
D3 12HR 1_png.rf.Yo8fn057Z7AttFerhIaK.png,train,HUVEC,12,Originais (1)||None||D3,Originais (1),nativo,0.66559,34.48,0.848,3293.79
D3 12HR 1_png.rf.mifzTygCpbeTjrtE3vVM.png,train,HUVEC,12,originais||None||D3,originais,nativo,0.78641,93.87,0.7839,7294.36
C7 24HR 2_png.rf.cnX19wyaKkQGsBZZ4Sw2.png,train,HUVEC,24,Originais (1)||None||C7,Originais (1),nativo,0.77391,63.57,0.8356,6796.41
A7 12HR 2_png.rf.f4E0d0pjc4kys6Feop64.png,train,HUVEC,12,Originais (1)||None||A7,Originais (1),nativo,0.65546,38.24,0.8582,2691.88
A7 12HR 2_png.rf.LGr3s2Yj4OY0qdGUWghJ.png,train,HUVEC,12,originais||None||A7,originais,nativo,0.82255,172.18,0.8317,8036.78
ptx1_2_png.rf.mOSxinMIUOQxQUjpAhxb.png,test,SKOV,0,P1|PTX|F2,P1,nativo,0.94628,137.49,1.0398,12954.73
