arquivo_b,stem_normalizado,arquivo_a,pasta_a,linha_celular,well_campo,timepoint_h,similaridade,margem_2o_melhor,status,experimento,tratamento,creation_dt,lote,trat_huvec,ctx_ambiguo
A1 24H 1_png.rf.0vIMHmjL700gltziprXx.png,a1 24h 1,A1 24H 1 (2).tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.4023,ok,,,,LUIS RAW,PEP,
A1 24H 1_png.rf.LVoaaBXwUhRPFKNjtcC5.png,a1 24h 1,A1 24H 1 (3).tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.5372,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
B6 12hr 2_png.rf.y4b1NNhMuInMAANEGR5y.png,b6 12hr 2,B6 12hr 2.tiff,HUVEC/12h,HUVEC,B6,12,0.9594,0.2299,ok,,,,Pré-Eclâmpsia,,
B6 12HR 2_png.rf.BMDqWV1RTxKKoPMgnLal.png,b6 12hr 2,,,HUVEC,B6,12,,,sem_candidato,,,,,,
B6 12HR 2_png.rf.BhBG7QrbcqnQq3atIHW2.png,b6 12hr 2,B6 12HR 2 (2).tiff,HUVEC/12h,HUVEC,B6,12,1.0,0.2672,ok,,,,Originais (1),,
B8 24h 1 _png.rf.VRJJ5SQ1mGJ3fW5YWRab.png,b8 24h 1,B8 24h 1 .tiff,HUVEC/24h,HUVEC,B8,24,0.7845,0.1526,ok,,,,Pré-Eclâmpsia,,
B8 24h 1_png.rf.N3qsR9ioYQUvIlolAAfM.png,b8 24h 1,B8 24h 1.tiff,HUVEC/24h,HUVEC,B8,24,0.9437,0.3469,ok,,,,Saudável,,
B8 24H 1_png.rf.E5CzkDTGU7vgWmncCGCv.png,b8 24h 1,B8 24H 1 (2).tiff,HUVEC/24h,HUVEC,B8,24,1.0,1.3873,ok,,,,LUIS RAW,PEP+MCC,
D1 8H 2_png.rf.1Guur0r0WOYFqgYbD8Ix.png,d1 8h 2,D1 8H 2.png,HUVEC/8h,HUVEC,D1,8,1.0,0.4535,ok,,,,Migração (PET e PEP) n3 - RAW,,
D1 8H 2_png.rf.m3MGg413oV303xlZFAfV.png,d1 8h 2,,,HUVEC,D1,8,,,sem_candidato,,,,,,
D1 8H 2_png.rf.QDHJAU6viLWqVuRsQP8L.png,d1 8h 2,D1 8H 2 (2).tiff,HUVEC/8h,HUVEC,D1,8,1.0,0.1071,ok,,,,Migração (PET e PEP) n2 - RAW,PET + NEB 1uM,
D1 8H 2_png.rf.SWULebjRubJoCPggvrgZ.png,d1 8h 2,D1 8H 2.tiff,HUVEC/8h,HUVEC,D1,8,1.0,0.1071,ok,,,,LUIS RAW,PET,
D3 8H 1_png.rf.3Pnm14NelVMxz7m2DnLI.png,d3 8h 1,D3 8H 1 (3).tiff,HUVEC/8h,HUVEC,D3,8,1.0,0.2073,ok,,,,Migração (PET e PEP) n3 - RAW,,
D3 8H 1_png.rf.6I3dod8wB6YDO4ZLWh12.png,d3 8h 1,D3 8H 1.tiff,HUVEC/8h,HUVEC,D3,8,1.0,0.1516,ok,,,,Migração (PET e PEP) n1 - RAW,PEP + NEB 5uM,
D3 8H 1_png.rf.6ah0Jg4O5oakLSomUxcX.png,d3 8h 1,D3 8H 1 (2).tiff,HUVEC/8h,HUVEC,D3,8,1.0,0.1516,ok,,,,Migração (PET e PEP) n2 - RAW,PET + NEB 5uM,
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,a5 12hr 1,A5 12HR 1 (2).tiff,HUVEC/12h,HUVEC,A5,12,1.0,0.1769,ok,,,,Originais (1),,
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,a5 12hr 1,A5 12HR 1.tiff,HUVEC/12h,HUVEC,A5,12,1.0,0.1769,ok,,,,originais,,
A7 12HR 1_png.rf.6BXSIYDC0NmpoaPAgKMQ.png,a7 12hr 1,A7 12HR 1 (2).tiff,HUVEC/12h,HUVEC,A7,12,1.0,0.3435,ok,,,,Originais (1),,
A7 12HR 1_png.rf.izsMjIhbUB8VuAWUFhrt.png,a7 12hr 1,A7 12HR 1.tiff,HUVEC/12h,HUVEC,A7,12,1.0,0.3435,ok,,,,originais,,
A3 0hr 2_png.rf.KohL1mTNndjr4CLZYMxF.png,a3 0hr 2,A3 0hr 2.tiff,HUVEC/0h,HUVEC,A3,0,0.97,0.1904,ok,,,,Controle,,
A3 0HR 2_png.rf.a0AY5M3kJRWyGB4d0dqH.png,a3 0hr 2,A3 0HR 2 (2).tiff,HUVEC/0h,HUVEC,A3,0,1.0,0.23,ok,,,,Originais (1),,
A3 0HR 2_png.rf.hZpokQPSOC5byLanjjIO.png,a3 0hr 2,,,HUVEC,A3,0,,,sem_candidato,,,,,,
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,a5 24hr 2,A5 24HR 2 (2).tiff,HUVEC/24h,HUVEC,A5,24,1.0,0.395,ok,,,,Originais (1),,
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,a5 24hr 2,A5 24HR 2.tiff,HUVEC/24h,HUVEC,A5,24,1.0,0.3949,ok,,,,originais,,
C1 12HR 2_png.rf.OcIfPfUZwnSUShLaLbR6.png,c1 12hr 2,C1 12HR 2.tiff,HUVEC/12h,HUVEC,C1,12,1.0,,ok,,,,Originais (1),,
A2 0hr 2_png.rf.KWeoDuzrrjKAePH796rp.png,a2 0hr 2,A2 0hr 2.tiff,HUVEC/0h,HUVEC,A2,0,0.9576,0.0,ambiguo,,,,Controle,,
A2 0HR 2_png.rf.OO5XnE4RmaSV016MsOgg.png,a2 0hr 2,A2 0HR 2 (2).tiff,HUVEC/0h,HUVEC,A2,0,1.0,0.3707,ok,,,,Originais (1),,
A2 0HR 2_png.rf.uZnHhBG7PNdQodX1DjwB.png,a2 0hr 2,A2 0hr 2.tiff,HUVEC/A2.TIFF,HUVEC,A2,0,0.5927,-0.2686,ambiguo,,,,Controle,,
A4 0hr 2_png.rf.ipPkfLfmEihsBmZiVwsH.png,a4 0hr 2,A4 0hr 2.tiff,HUVEC/0h,HUVEC,A4,0,0.9866,0.3711,ok,,,,Controle,,
A4 0HR 2_png.rf.rykHBscK23N6CFQg1aEp.png,a4 0hr 2,A4 0HR 2 (2).tiff,HUVEC/0h,HUVEC,A4,0,1.0,0.4327,ok,,,,Originais (1),,
A4 0HR 2_png.rf.ad8NWhUve9wWCADVF4Er.png,a4 0hr 2,,,HUVEC,A4,0,,,sem_candidato,,,,,,
B3 8H 2_png.rf.CESTHFggCs6xlkAs19Pa.png,b3 8h 2,B3 8H 2.tiff,HUVEC/8h,HUVEC,B3,8,1.0,0.8641,ok,,,,LUIS RAW,PEP+GB,
B3 8H 2_png.rf.9tJrx07oVduWzllk5nQH.png,b3 8h 2,B3 8H 2 (4).tiff,HUVEC/8h,HUVEC,B3,8,1.0,0.3797,ok,,,,Migração (PET e PEP) n3 - RAW,,
B3 8H 2_png.rf.7Eq3kMUW8sFWbmsSpjrE.png,b3 8h 2,B3 8H 2 (2).tiff,HUVEC/8h,HUVEC,B3,8,1.0,0.3797,ok,,,,Migração (PET e PEP) n1 - RAW,PEP,
B3 8H 2_png.rf.J2ZWdw3dXxPmWLgQzORH.png,b3 8h 2,B3 8H 2 (3).tiff,HUVEC/8h,HUVEC,B3,8,1.0,0.5586,ok,,,,Migração (PET e PEP) n2 - RAW,PEP + NEB 5uM,
E4 12H 2_png.rf.Ec4jsXhXLHQBkPxAMAyc.png,e4 12h 2,E4 12H 2.tiff,HUVEC/12h,HUVEC,E4,12,1.0,0.2088,ok,,,,LUIS RAW,PEP+MET3,
E4 12H 2_png.rf.lZSPsrmbRSyhfiXorh1s.png,e4 12h 2,E4 12H 2 (2).tiff,HUVEC/12h,HUVEC,E4,12,1.0,0.2088,ok,,,,Migração (PET e PEP) n1 - RAW,PET,
A4 8HR 2_png.rf.FrebrKnoGJAi62YqwG10.png,a4 8hr 2,A4 8HR 2.tiff,HUVEC/8h,HUVEC,A4,8,1.0,0.3655,ok,,,,originais,,
A4 8HR 2_png.rf.ueLU3zjhuubW2d81ZDX5.png,a4 8hr 2,A4 8HR 2 (2).tiff,HUVEC/8h,HUVEC,A4,8,1.0,0.3655,ok,,,,Originais (1),,
B6 0HR 2_png.rf.PJA73eFbAqKdZVUui1iH.png,b6 0hr 2,B6 0HR 2.tiff,HUVEC/0h,HUVEC,B6,0,1.0,0.2145,ok,,,,originais,,
B6 0HR 2_png.rf.9dIqbEAZjCw7c536N5S2.png,b6 0hr 2,B6 0HR 2 (2).tiff,HUVEC/0h,HUVEC,B6,0,1.0,0.2145,ok,,,,Originais (1),,
A5 8HR 2_png.rf.PkgglquFkEZJxKt3zDYh.png,a5 8hr 2,,,HUVEC,A5,8,,,sem_candidato,,,,,,
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,a5 8hr 2,A5 8HR 2 (2).tiff,HUVEC/8h,HUVEC,A5,8,1.0,0.6427,ok,,,,Originais (1),,
A5 8hr 2_png.rf.ORi73INEpKfYcNVBMeHR.png,a5 8hr 2,A5 8hr 2.tiff,HUVEC/8h,HUVEC,A5,8,0.828,0.3974,ok,,,,Pré-Eclâmpsia,,
C4 8HR 2_png.rf.75jApVB4zrpuft44xaOb.png,c4 8hr 2,C4 8HR 2.tiff,HUVEC/8h,HUVEC,C4,8,1.0,,ok,,,,Originais (1),,
C5 8HR 1_png.rf.npq1TT4tFnUwL9fyEtxf.png,c5 8hr 1,C5 8HR 1.tiff,HUVEC/8h,HUVEC,C5,8,1.0,,ok,,,,Originais (1),,
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,a5 8hr 1,A5 8HR 1 (2).tiff,HUVEC/8h,HUVEC,A5,8,1.0,0.256,ok,,,,Originais (1),,
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,a5 8hr 1,A5 8HR 1.tiff,HUVEC/8h,HUVEC,A5,8,1.0,0.256,ok,,,,originais,,
C8 0HR 1_png.rf.unFcr8NfT77SuQCb8WVf.png,c8 0hr 1,C8 0HR 1.tiff,HUVEC/0h,HUVEC,C8,0,1.0,,ok,,,,Originais (1),,
A3 0HR 1_png.rf.vOWVMCSId0rrI2A5Y6RI.png,a3 0hr 1,A3 0HR 1 (2).tiff,HUVEC/0h,HUVEC,A3,0,1.0,0.8137,ok,,,,Originais (1),,
A3 0HR 1_png.rf.lbHrUgZUHbHQslRvoZEH.png,a3 0hr 1,A3 0HR 1.tiff,HUVEC/0h,HUVEC,A3,0,1.0,0.8137,ok,,,,originais,,
C1 8HR 1_png.rf.oOkkW323fjLb20ujmYdI.png,c1 8hr 1,C1 8HR 1.tiff,HUVEC/8h,HUVEC,C1,8,1.0,,ok,,,,Originais (1),,
A3 12hr 2_png.rf.qSoaWOtqXsRyw0S2qSAg.png,a3 12hr 2,A3 12hr 2.tiff,HUVEC/12h,HUVEC,A3,12,0.9464,0.1077,ok,,,,Controle,,
A3 12HR 2_png.rf.EM0ZeH9oXoYjDPrahHYX.png,a3 12hr 2,,,HUVEC,A3,12,,,sem_candidato,,,,,,
A3 12HR 2_png.rf.X6ZbjE2gzo7dzplSnmP5.png,a3 12hr 2,A3 12HR 2 (2).tiff,HUVEC/12h,HUVEC,A3,12,1.0,0.1588,ok,,,,Originais (1),,
A6 8HR 1_png.rf.jMYq7Imdm9b3bsQCdfaH.png,a6 8hr 1,A6 8HR 1 (2).tiff,HUVEC/8h,HUVEC,A6,8,1.0,0.2517,ok,,,,Originais (1),,
A6 8HR 1_png.rf.7Grrv3doO59OSdNxaDbf.png,a6 8hr 1,A6 8HR 1.tiff,HUVEC/8h,HUVEC,A6,8,1.0,0.2517,ok,,,,originais,,
A3 8HR 1_png.rf.YWwkHXdFn51x2qQa9MKo.png,a3 8hr 1,A3 8HR 1 (2).tiff,HUVEC/8h,HUVEC,A3,8,1.0,0.6568,ok,,,,Originais (1),,
A3 8HR 1_png.rf.KvjShuzpjDEXEBWbceBf.png,a3 8hr 1,A3 8HR 1.tiff,HUVEC/8h,HUVEC,A3,8,1.0,0.6568,ok,,,,originais,,
D1 8HR 2_png.rf.We4y9DkVsrjwHtYEPH1S.png,d1 8hr 2,D1 8HR 2 (2).tiff,HUVEC/8h,HUVEC,D1,8,1.0,0.4514,ok,,,,Originais (1),,
D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png,d1 8hr 2,D1 8HR 2.tiff,HUVEC/8h,HUVEC,D1,8,1.0,0.4514,ok,,,,originais,,
A4 0HR 1_png.rf.flUKXJX958V29SztaqZp.png,a4 0hr 1,A4 0HR 1 (2).tiff,HUVEC/0h,HUVEC,A4,0,1.0,0.6815,ok,,,,Originais (1),,
A4 0HR 1_png.rf.lr0vF9oNfEZapbxfemLc.png,a4 0hr 1,A4 0HR 1.tiff,HUVEC/0h,HUVEC,A4,0,1.0,0.6815,ok,,,,originais,,
Snap-10_72_png.rf.n7hfG13etFn8yDPHlWXd.png,snap-10,Snap-10.tiff,SKOV/24h,SKOV,snap-10,24,0.9992,0.1743,ok,P2,CT,,,,
Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png,snap-10,Snap-10.tiff,SKOV/0h,SKOV,snap-10,0,0.9997,0.1867,ok,P2,CT,,,,
Snap-10_206_png.rf.qsKnxTuSvux45mlYUYLk.png,snap-10,Snap-10 (2).tiff,SKOV/24h,SKOV,snap-10,24,0.9995,0.18,ok,P1,CT,,,,
Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png,snap-10,Snap-10 (2).tiff,SKOV/48h,SKOV,snap-10,48,0.9994,0.1603,ok,P1,CT,,,,
Snap-10_27_png.rf.InxxspUYRgK57BBNVAEq.png,snap-10,Snap-10.tiff,SKOV/48h,SKOV,snap-10,48,0.9996,0.1608,ok,P2,CT,,,,
B3 12hr 2_png.rf.VGbRnN8WbzouxdvfefLU.png,b3 12hr 2,B3 12hr 2.tiff,HUVEC/12h,HUVEC,B3,12,0.9611,0.2343,ok,,,,Saudável,,
B3 12HR 2_png.rf.53uaZIgUjykC3AHiGB7Y.png,b3 12hr 2,,,HUVEC,B3,12,,,sem_candidato,,,,,,
B3 12HR 2_png.rf.VqZIwhkvmfMWTtmwJvV6.png,b3 12hr 2,B3 12HR 2 (2).tiff,HUVEC/12h,HUVEC,B3,12,1.0,0.2673,ok,,,,Originais (1),,
B2 12hr 2_png.rf.aKY954Ar92bN45Dxpxoo.png,b2 12hr 2,,,HUVEC,B2,12,,,sem_candidato,,,,,,
B2 12hr 2_png.rf.riSjsWM4RKaoLOeuGF4T.png,b2 12hr 2,B2 12hr 2.tiff,HUVEC/12h,HUVEC,B2,12,0.9574,0.2794,ok,,,,Controle,,
B2 12HR 2_png.rf.nZ89rrtZ5eox9IpiBXkM.png,b2 12hr 2,B2 12HR 2 (2).tiff,HUVEC/12h,HUVEC,B2,12,1.0,0.3005,ok,,,,Originais (1),,
B2 12HR 2_png.rf.0Mjn05pgfeKpn7x2HoEU.png,b2 12hr 2,,,HUVEC,B2,12,,,sem_candidato,,,,,,
B8 0hr 1_png.rf.Y8HPYsGls33ML8N4xLQ9.png,b8 0hr 1,,,HUVEC,B8,0,,,sem_candidato,,,,,,
B8 0HR 1_png.rf.wcI5BQBhMVPCzXKkI2w6.png,b8 0hr 1,,,HUVEC,B8,0,,,sem_candidato,,,,,,
B8 0hr 1_png.rf.knYV6A7txjzElFti8uaT.png,b8 0hr 1,B8 0hr 1.tiff,HUVEC/0h,HUVEC,B8,0,0.8894,1.1713,ok,,,,Pré-Eclâmpsia,,
B8 0HR 1_png.rf.KqhRF7p7Gc814ztA2tAN.png,b8 0hr 1,B8 0HR 1 (2).tiff,HUVEC/0h,HUVEC,B8,0,1.0,1.2252,ok,,,,Originais (1),,
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,b1 24hr 2,B1 24hr 2.tiff,HUVEC/24h,HUVEC,B1,24,0.4382,,ambiguo,,,,Saudável,,
B1 24HR 2_png.rf.Ls9u8THJDkrAcAUiOT0Q.png,b1 24hr 2,,,HUVEC,B1,24,,,sem_candidato,,,,,,
B2 24hr 2_png.rf.huSTBgPOlxWVtCE2FpNP.png,b2 24hr 2,,,HUVEC,B2,24,,,sem_candidato,,,,,,
B2 24HR 2_png.rf.uTcx0z3WdLqlbwZI5Emi.png,b2 24hr 2,B2 24hr 2.tiff,HUVEC/24h,HUVEC,B2,24,0.1935,,ambiguo,,,,Controle,,
B7 0hr 1_png.rf.ksMD0pYm6qfnouVyBUlp.png,b7 0hr 1,B7 0hr 1.tiff,HUVEC/0h,HUVEC,B7,0,0.8448,0.1647,ok,,,,Pré-Eclâmpsia,,
B7 0HR 1_png.rf.Ukn4ATZ5w0il9IzVsrtV.png,b7 0hr 1,B7 0HR 1 (2).tiff,HUVEC/0h,HUVEC,B7,0,1.0,0.291,ok,,,,Originais (1),,
B7 0hr 1_png.rf.QYTRdRmCyko5payKjuNF.png,b7 0hr 1,,,HUVEC,B7,0,,,sem_candidato,,,,,,
B7 0HR 1_png.rf.kzoYnFCLdbukY0DFsrTm.png,b7 0hr 1,,,HUVEC,B7,0,,,sem_candidato,,,,,,
C7 0hr 2_png.rf.ncuQjQh19UrtWTYYtwgY.png,c7 0hr 2,C7 0hr 2.tiff,HUVEC/0h,HUVEC,C7,0,0.8442,0.1154,ok,,,,Pré-Eclâmpsia,,
C7 0HR 2_png.rf.p7jzNkQk0PbCL4U2IsE2.png,c7 0hr 2,C7 0HR 2 (2).tiff,HUVEC/0h,HUVEC,C7,0,1.0,0.2658,ok,,,,Originais (1),,
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,a1 24h 2,A1 24h 2.tiff,HUVEC/24h,HUVEC,A1,24,0.8151,0.2485,ok,,,,Controle,,
A1 24H 2_png.rf.mCVQkyudUMkUKQP8oD3Z.png,a1 24h 2,A1 24H 2 (4).tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.2976,ok,,,,Migração (PET e PEP) n3 - RAW,,
A1 24H 2_png.rf.XERqooMY6dKiS5aPsD5q.png,a1 24h 2,A1 24H 2 (3).tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.7595,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
B7 0hr 2_png.rf.prftfZd1LyffvhWEcvAV.png,b7 0hr 2,B7 0hr 2.tiff,HUVEC/0h,HUVEC,B7,0,0.9805,0.5973,ok,,,,Saudável,,
B7 0HR 2_png.rf.dMPgfORCcjwf92Kh6sCI.png,b7 0hr 2,B7 0HR 2 (2).tiff,HUVEC/0h,HUVEC,B7,0,1.0,0.6682,ok,,,,Originais (1),,
B7 0HR 2_png.rf.nntMFnTHGgBpH6aqtdYS.png,b7 0hr 2,,,HUVEC,B7,0,,,sem_candidato,,,,,,
C7 0hr 1_png.rf.0KFwLe9lCE6WFiy10CUh.png,c7 0hr 1,C7 0hr 1.tiff,HUVEC/0h,HUVEC,C7,0,0.9425,0.2423,ok,,,,Pré-Eclâmpsia,,
C7 0HR 1_png.rf.hMZ6n4BOgfQTtrExgc7u.png,c7 0hr 1,C7 0HR 1 (2).tiff,HUVEC/0h,HUVEC,C7,0,1.0,0.2941,ok,,,,Originais (1),,
Snap-07_70_png.rf.vNyGAtPWPJA0rF6FhxvN.png,snap-7,Snap-07.tiff,SKOV/24h,SKOV,snap-7,24,0.9994,0.1718,ok,P2,CT,,,,
Snap-07_204_png.rf.H0N5xKu4UYwZk6TNY3Xd.png,snap-7,Snap-07 (2).tiff,SKOV/24h,SKOV,snap-7,24,0.9994,0.19,ok,P1,CT,,,,
Snap-07_png.rf.g6SCaXQJinM4lCI6wdd5.png,snap-7,Snap-07.tiff,SKOV/0h,SKOV,snap-7,0,0.9996,0.1518,ok,P2,CT,,,,
Snap-07_25_png.rf.XApzD0Pw1QxeCLShLeqI.png,snap-7,Snap-07.tiff,SKOV/48h,SKOV,snap-7,48,0.9996,0.1517,ok,P2,CT,,,,
Snap-07_144_png.rf.vfJMuF8YRLj9hUriVTPL.png,snap-7,Snap-07 (2).tiff,SKOV/48h,SKOV,snap-7,48,0.9994,0.2224,ok,P1,CT,,,,
Snap-33_37_png.rf.9no99MZvmBZOLsdg6Atx.png,snap-33,Snap-33.tiff,SKOV/48h,SKOV,snap-33,48,0.9996,0.2,ok,P2,GEO,,,,
Snap-33_82_png.rf.0OBavEsnW2E5DqKbGtgA.png,snap-33,Snap-33.tiff,SKOV/24h,SKOV,snap-33,24,0.9995,0.2214,ok,P2,GEO,,,,
Snap-33_171_png.rf.E47tm0ycTBxOqSzcCzoG.png,snap-33,Snap-33 (2).tiff,SKOV/48h,SKOV,snap-33,48,0.9994,0.1683,ok,P1,GEO,,,,
Snap-33_231_png.rf.JAemjrnP9ImKmVmpRfzn.png,snap-33,Snap-33 (2).tiff,SKOV/24h,SKOV,snap-33,24,0.9995,0.1683,ok,P1,GEO,,,,
Snap-33_277_png.rf.VKo8X4odufnCCAnDoQ0P.png,snap-33,Snap-33.tiff,SKOV/72h,SKOV,snap-33,72,0.9996,0.2849,ok,P1,GEO,,,,
Snap-33_png.rf.lRxwtWAAAbkEpA18HoVS.png,snap-33,Snap-33.tiff,SKOV/0h,SKOV,snap-33,0,0.9998,0.1982,ok,P2,GEO,,,,
ct1_5_png.rf.xygVTmZfimx6b9L39l2C.png,ct1 5,ct1_5.tiff,SKOV/0h,SKOV,ct1_5,0,0.9994,,ok,P1,CT,,,,
B1 8H 1_png.rf.1wxeEsithaDZPrKbJIk8.png,b1 8h 1,B1 8H 1 (3).tiff,HUVEC/8h,HUVEC,B1,8,1.0,0.0543,ok,,,,Migração (PET e PEP) n3 - RAW,,
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,b1 8h 1,B1 8H 1 (2).tiff,HUVEC/8h,HUVEC,B1,8,1.0,0.0544,ok,,,,Migração (PET e PEP) n2 - RAW,PEP + NEB 1uM,
B1 8H 1_png.rf.xsq5BkCBkpc4G5otns1Z.png,b1 8h 1,B1 8H 1.tiff,HUVEC/8h,HUVEC,B1,8,1.0,0.7809,ok,,,,LUIS RAW,PEP,
A3 12H 1_png.rf.1mSVqHM6KS3uhRK3e3lj.png,a3 12h 1,A3 12H 1 (3).tiff,HUVEC/12h,HUVEC,A3,12,1.0,0.1749,ok,,,,Migração (PET e PEP) n3 - RAW,,
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,a3 12h 1,A3 12H 1.tiff,HUVEC/12h,HUVEC,A3,12,1.0,1.3093,ok,,,,LUIS RAW,PEP+GB,
A3 12H 1_png.rf.6fx89SeDFqbbpHYdcuw7.png,a3 12h 1,A3 12H 1 (2).tiff,HUVEC/12h,HUVEC,A3,12,1.0,0.1749,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
C3 8H 2_png.rf.2WnG1dTj6hfmtMmaSG3l.png,c3 8h 2,C3 8H 2 (3).tiff,HUVEC/8h,HUVEC,C3,8,1.0,0.4248,ok,,,,Migração (PET e PEP) n3 - RAW,,
C3 8H 2_png.rf.JQjUW9XY0QTRcyHYnnXJ.png,c3 8h 2,C3 8H 2.tiff,HUVEC/8h,HUVEC,C3,8,1.0,0.246,ok,,,,Migração (PET e PEP) n1 - RAW,PEP + NEB 1uM,
C3 8H 2_png.rf.xnMBFgGz1tFhAeE5Mh0m.png,c3 8h 2,C3 8H 2 (2).tiff,HUVEC/8h,HUVEC,C3,8,1.0,0.2459,ok,,,,Migração (PET e PEP) n2 - RAW,PET,
C3 12H 1_png.rf.8gC4xRzYoHNmtFsxKAAM.png,c3 12h 1,C3 12H 1 (3).tiff,HUVEC/12h,HUVEC,C3,12,1.0,0.3719,ok,,,,Migração (PET e PEP) n3 - RAW,,
C3 12H 1_png.rf.gufpoClgDJpZOljTqUiO.png,c3 12h 1,C3 12H 1 (2).tiff,HUVEC/12h,HUVEC,C3,12,1.0,0.4788,ok,,,,Migração (PET e PEP) n2 - RAW,PET,
C3 12H 1_png.rf.k3Ehizb9KQn1GS9CC4y2.png,c3 12h 1,C3 12H 1.tiff,HUVEC/12h,HUVEC,C3,12,1.0,0.3719,ok,,,,Migração (PET e PEP) n1 - RAW,PEP + NEB 1uM,
A2 8H 1_png.rf.3QqxCZ8m0xBtItaJLTd2.png,a2 8h 1,A2 8H 1 (3).tiff,HUVEC/8h,HUVEC,A2,8,1.0,0.1328,ok,,,,Migração (PET e PEP) n3 - RAW,,
A2 8H 1_png.rf.6mANHGK2YRZI4BisA8Ei.png,a2 8h 1,A2 8H 1.tiff,HUVEC/8h,HUVEC,A2,8,1.0,1.5106,ok,,,,LUIS RAW,PEP+MET3,
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,a2 8h 1,A2 8H 1 (2).tiff,HUVEC/8h,HUVEC,A2,8,1.0,0.1328,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
D2 0H 1_png.rf.3s7Eh5cqjrXy6cn56UBU.png,d2 0h 1,D2 0H 1 (2).tiff,HUVEC/0h,HUVEC,D2,0,1.0,0.4216,ok,,,,Migração (PET e PEP) n3 - RAW,,
D2 0H 1_png.rf.xovIJqlILOeUFQLHRyvb.png,d2 0h 1,D2 0H 1.tiff,HUVEC/0h,HUVEC,D2,0,1.0,0.4216,ok,,,,Migração (PET e PEP) n2 - RAW,PET + NEB 1uM,
C2 24HR 2_png.rf.MPADEI7GuMyp9bi3AkAx.png,c2 24hr 2,C2 24HR 2.tiff,HUVEC/24h,HUVEC,C2,24,1.0,,ok,,,,Originais (1),,
C1 24HR 1_png.rf.YPRq3IWss7VUaq3e3iGW.png,c1 24hr 1,C1 24HR 1.tiff,HUVEC/24h,HUVEC,C1,24,1.0,,ok,,,,Originais (1),,
A4 24HR _png.rf.SoP1Ps5jNnRx92pvO7dO.png,a4 24hr,A4 24HR .tiff,HUVEC/24h,HUVEC,A4,24,1.0,,ok,,,,Originais (1),,
C6 12HR 2_png.rf.QfuOOnhE4hgEtZc6n4FV.png,c6 12hr 2,C6 12HR 2.tiff,HUVEC/12h,HUVEC,C6,12,1.0,,ok,,,,Originais (1),,
A8 12HR 2_png.rf.VAU0OVpOBwbG6A1pJf3X.png,a8 12hr 2,A8 12HR 2 (2).tiff,HUVEC/12h,HUVEC,A8,12,1.0,0.4825,ok,,,,Originais (1),,
A8 12HR 2_png.rf.us5pv6GHD379VoqxMyqM.png,a8 12hr 2,A8 12HR 2.tiff,HUVEC/12h,HUVEC,A8,12,1.0,0.4825,ok,,,,originais,,
ptx2_5_png.rf.ZcYzvy2P9SDnI5FO7SZ3.png,ptx2 5,ptx2_5.tiff,SKOV/0h,SKOV,ptx2_5,0,0.9995,,ok,P1,PTX,,,,
B2 0hr 1_png.rf.db9iQQ8HUhDl1bXRwF8r.png,b2 0hr 1,B2 0hr 1.tiff,HUVEC/0h,HUVEC,B2,0,0.4194,0.5399,ambiguo,,,,Controle,,
B2 0HR 1_png.rf.5zUWBCAzk9uVSqr7HPbp.png,b2 0hr 1,B2 0HR 1 (2).tiff,HUVEC/0h,HUVEC,B2,0,1.0,1.0825,ok,,,,Originais (1),,
B2 0HR 1_png.rf.rzJTQJsC1FX8HbufhcZr.png,b2 0hr 1,,,HUVEC,B2,0,,,sem_candidato,,,,,,
B2 0hr 2_png.rf.fIFxz7VDzzqkj4zabua0.png,b2 0hr 2,B2 0hr 2.tiff,HUVEC/0h,HUVEC,B2,0,0.9802,0.2891,ok,,,,Controle,,
B2 0hr 2_png.rf.NX9PehcIUtrbpP4AGDjt.png,b2 0hr 2,,,HUVEC,B2,0,,,sem_candidato,,,,,,
B2 0HR 2_png.rf.YbEuLym6tx1G0ByLVH1s.png,b2 0hr 2,,,HUVEC,B2,0,,,sem_candidato,,,,,,
